Time,CPU
19:25:06,9
19:25:07,7
19:25:08,11.8
19:25:09,9.3
19:25:10,14
19:25:11,29.9
19:25:12,13.2
19:25:13,8.1
19:25:14,11.7
19:25:15,10.5
19:25:16,12.5
19:25:17,21.7
19:25:18,15.5
19:25:19,11.6
19:25:20,12.9
19:25:21,8.6
19:25:22,34
19:25:23,44.8
19:25:24,27.7
19:25:25,28.4
19:25:26,14.3
19:25:27,5.8
19:25:28,20.4
19:25:29,21.5
19:25:30,26
19:25:31,10.2
19:25:32,12.1
19:25:33,20.5
19:25:34,39
19:25:35,29.3
19:25:36,10.4
19:25:37,9.4
19:25:38,9.3
19:25:39,17.1
19:25:40,50.6
19:25:41,14.8
19:25:42,9.7
19:25:43,7.4
19:25:44,20
19:25:45,24.6
19:25:46,54.7
19:25:47,64.4
19:25:48,55
19:25:49,41.2
19:25:50,59.5
19:25:51,72
19:25:52,82.9
19:25:53,99.3
19:25:54,65.9
19:25:55,85.1
19:25:56,80.8
19:25:57,72.1
19:25:58,73.3
19:25:59,77.4
19:26:00,68.5
19:26:01,48.3
19:26:02,37.8
19:26:03,33.6
19:26:04,21.5
19:26:05,48.1
19:26:06,28.6
19:26:07,43.6
19:26:08,36
19:26:09,33.7
19:26:10,45.3
19:26:11,55.7
19:26:12,28.3
19:26:13,30.2
19:26:14,66.3
19:26:15,57.2
19:26:16,30.8
19:26:17,48.3
19:26:18,38.3
19:26:19,19.5
19:26:20,39.9
19:26:21,28.7
19:26:22,51.3
19:26:23,54
19:26:24,45
19:26:25,28.4
19:26:26,29.5
19:26:27,9.8
19:26:28,7
19:26:29,17.4
19:26:30,31.4
19:26:31,10.5
19:26:32,11.2
19:26:33,12.4
19:26:34,9
19:26:35,26.8
19:26:36,21.4
19:26:37,9.7
19:26:38,8.2
19:26:39,13.1
19:26:40,38.8
19:26:41,29.6
19:26:42,29.1
19:26:43,9.3
19:26:44,10
19:26:45,11.3
19:26:46,11.7
19:26:47,16.3
19:26:48,32.6
19:26:49,10.9
19:26:50,9.3
19:26:51,10.1
19:26:52,17.4
19:26:53,11.6
19:26:54,29.1
19:26:55,11
19:26:56,12.4
19:26:57,10.1
19:26:58,12.7
19:26:59,13.7
19:27:00,32.1
19:27:01,14.4
19:27:02,7
19:27:03,8.1
19:27:04,9.4
19:27:05,16.8
19:27:06,25
19:27:07,10
19:27:08,15.6
19:27:09,18
19:27:10,17.1
19:27:11,17
19:27:12,20.9
19:27:13,14.2
19:27:14,14.9
19:27:15,13.2
19:27:16,13.7
19:27:17,22.2
19:27:18,28.3
19:27:19,9.7
19:27:20,13.6
19:27:21,10.5
19:27:22,31.5
19:27:23,32.6
19:27:24,40.8
19:27:25,27.7
19:27:26,10.5
19:27:27,7.4
19:27:28,7.4
19:27:29,17.1
19:27:30,30.4
19:27:31,31
19:27:32,31.3
19:27:33,39.4
19:27:34,54.7
19:27:35,75.7
19:27:36,56.3
19:27:37,27.7
19:27:38,30.4
19:27:39,36.7
19:27:40,28.6
19:27:41,60.1
19:27:42,14.7
19:27:43,7.4
19:27:44,10.9
19:27:45,8.6
19:27:46,12.8
19:27:47,28
19:27:48,16.3
19:27:49,10.9
19:27:50,14.6
19:27:51,9.4
19:27:52,8.9
19:27:53,29.2
19:27:54,21.5
19:27:55,8.6
19:27:56,7.4
19:27:57,10.9
19:27:58,12.7
19:27:59,20.6
19:28:00,31.3
19:28:01,9.8
19:28:02,9
19:28:03,8.5
19:28:04,14
19:28:05,38
19:28:06,43.8
19:28:07,65.8
19:28:08,36.3
19:28:09,33.3
19:28:10,35.5
19:28:11,42.2
19:28:12,36.7
19:28:13,21.8
19:28:14,33.5
19:28:15,24.4
19:28:16,53.3
19:28:17,37.9
19:28:18,47.5
19:28:19,20.6
19:28:20,35.6
19:28:21,18.1
19:28:22,58
19:28:23,43.1
19:28:24,47.2
19:28:25,31.3
19:28:26,21.6
19:28:27,28
19:28:28,80.2
19:28:29,78.8
19:28:30,57.7
19:28:31,41.5
19:28:32,41.4
19:28:33,33.7
19:28:34,26.6
19:28:35,41.1
19:28:36,46.2
19:28:37,33.7
19:28:38,54.5
19:28:39,94.3
19:28:40,60.5
19:28:41,67.5
19:28:42,55.7
19:28:43,69.9
19:28:44,67.9
19:28:45,65.6
19:28:46,44.7
19:28:47,58.4
19:28:48,58.4
19:28:49,47.9
19:28:50,48.7
19:28:51,57.4
19:28:52,47.9
19:28:53,57.2
19:28:54,72.9
19:28:55,53.6
19:28:56,55.4
19:28:57,55.9
19:28:58,59.3
19:29:00,94.7
19:29:01,66.3
19:29:02,54.8
19:29:03,58.7
19:29:04,80.5
19:29:05,67.4
19:29:06,73.9
19:29:07,91
19:29:08,70.4
19:29:09,51.5
19:29:10,57.9
19:29:11,51.5
19:29:12,44.6
19:29:13,66.9
19:29:14,59.8
19:29:15,53.5
19:29:16,59.7
19:29:17,61.9
19:29:18,41.4
19:29:19,50.8
19:29:20,54.2
19:29:21,54.5
19:29:22,46.8
19:29:23,56.2
19:29:24,70.6
19:29:25,81.6
19:29:26,60.3
19:29:27,63
19:29:28,82.6
19:29:29,100
19:29:30,100
19:29:31,100
19:29:32,99.2
19:29:33,53.5
19:29:34,38.4
19:29:35,44.8
19:29:36,48
19:29:37,79.2
19:29:38,80.3
19:29:39,60.2
19:29:40,47.2
19:29:41,36.3
19:29:42,76.3
19:29:43,72.5
19:29:44,42.2
19:29:45,28.9
19:29:46,57.8
19:29:47,97.8
19:29:48,100
19:29:49,96.7
19:29:50,55.2
19:29:51,59.1
19:29:52,50.8
19:29:53,42.5
19:29:54,37.7
19:29:55,70.9
19:29:56,26.1
19:29:57,76.7
19:29:58,51.9
19:29:59,41.7
19:30:00,44.4
19:30:01,73.4
19:30:02,48.6
19:30:03,37
19:30:04,57.8
19:30:05,64.1
19:30:06,79.3
19:30:07,78.5
19:30:08,63.7
19:30:09,70.8
19:30:10,69.5
19:30:11,65.8
19:30:12,79.5
19:30:13,82.4
19:30:14,74.5
19:30:15,56.7
19:30:16,37.1
19:30:17,29.1
19:30:18,18.8
19:30:19,23.9
19:30:20,5.9
19:30:21,9.8
19:30:22,25.8
19:30:23,33.3
19:30:24,45.7
19:30:25,42.9
19:30:26,12.4
19:30:27,5.5
19:30:28,6.6
19:30:29,10.1
19:30:30,29
19:30:31,18.2
19:30:32,8.6
19:30:33,9
19:30:34,12.4
19:30:35,14.9
19:30:36,19
19:30:37,20.2
19:30:38,9.7
19:30:39,9.3
19:30:40,9.8
19:30:41,8.6
19:30:42,25.2
19:30:43,48.5
19:30:44,8.5
19:30:45,7.8
19:30:46,9
19:30:47,8.6
19:30:48,16.3
19:30:49,30.4
19:30:50,11.7
19:30:51,13.6
19:30:52,9.3
19:30:53,8.5
19:30:54,11.3
19:30:55,21.3
19:30:56,11.6
